I/O-64       23565.34  8.37    6563.11   0           23.04        
NB-64       22822.75  90.54   0         84.14       0
I/O-128      11758.90  5.87    2957.97   0           12.27         
NB-128      11317.84  63.4    0         39.66       0
I/O-256      5876.16   2.94    1429.53   0           6.04  
NB-256      5646.4    38.4    0         18.81       0
I/O-512      3001.08   4.81    556.85    0           2.99    
NB-512      2914.51   8.7     0         7.79        0
I/O-1024     1583.74   0.81    306.52    0           1.55    
NB-1024     1490.21   35.07   0         4.31        0
I/O-2048     895.66    0.38    157.72    0           0.86 
NB-2048     783.54    59.19   0         1.96        0
